id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJPwVVvlqfqTMR8k8YW0-7Luo,Temple of Leah,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.3688615,123.87325349999998,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,https://maps.google.com/?cid=16874630803308957682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJiYix3uCbqTMRAqkwfbD7es0,Fort San Pedro,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.292456999999999,123.905636,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=14806423460367083778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment
ChIJAeJQylufqTMRoYHzWBE4lzM,TOPS Cebu,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.3706141,123.8708714,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=3717501664575586721&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,observation deck tourist attraction point of interest establishment
ChIJH7-Frg-hqTMRcR-eubefklo,Sirao Garden,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.406157799999999,123.86584160000001,Monday: 8:00 AM – 5:30 PM | Tuesday: 8:00 AM – 5:30 PM | Wednesday: 8:00 AM – 5:30 PM | Thursday: 8:00 AM – 5:30 PM | Friday: 8:00 AM – 5:30 PM | Saturday: 8:00 AM – 5:30 PM | Sunday: 8:00 AM – 5:30 PM,https://maps.google.com/?cid=6526454421455249265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJdZVg9F6ZqTMRbU7ErBLR6vU,Casa Gorordo Museum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.299913,123.9048616,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=17720205561980800621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction historical landmark historical place point of interest establishment
ChIJQVwA2-ObqTMR--ZXFjrCXiQ,Magellan's Cross,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.2935626,123.9019549,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=2620745587914958587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction monument historical place point of interest establishment
ChIJmRDV5l6ZqTMR_TGUzibVfww,Yap-San Diego Ancestral House,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.299271599999999,123.9039535,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 7:00 PM | Saturday: 9:00 AM – 7:00 PM | Sunday: 9:00 AM – 7:00 PM,https://maps.google.com/?cid=900672813148680701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction museum historical place point of interest establishment
ChIJdWAY9omZqTMR5PT1YBVRFhM,Beverly Hills Lahug Cebu City,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.3331125,123.8896094,No Opening Hours Data,https://maps.google.com/?cid=1375375888471160036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJz_XF1U-ZqTMRLuh28VvaWq0,Sky Experience Adventure,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.3078635,123.8941119,Monday: Closed | Tuesday: 2:00 PM – 12:00 AM | Wednesday: 2:00 PM – 12:00 AM | Thursday: 2:00 PM – 12:00 AM | Friday: 2:00 PM – 12:00 AM | Saturday: 2:00 PM – 12:00 AM | Sunday: 2:00 PM – 12:00 AM,https://maps.google.com/?cid=12491536604893472814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction amusement center point of interest establishment
ChIJSWEB-vehqTMRqKcQS5qhODE,Budlaan Falls,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,10.385899199999999,123.88509779999998,No Opening Hours Data,https://maps.google.com/?cid=3546762390610683816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
